e44	(2 19)
e45	(4 21)
e46	(3 20)
e47	(4 21)
e49	(12 29)
e50	(10 27)
e51	(11 28)
e54	(14 31)
e80	(13 30)
e81	(12 29)
e83	(11 28)
e86	(12 29)
e87	(14 31)
e88	(13 30)
e89	(12 29)
e90	(12 29)
e97	(5 22)
e99	(11 28)
e100	(10 27)
e101	(10 27)
e114	(10 27)
e115	(10 27)
e116	(10 27)
e118	(13 30)
e119	(10 27)
e120	(10 27)
e121	(10 27)
e122	(10 27)
e123	(10 27)
e124	(10 27)
e134	(10 27)
e193	(9 26)
e196	(9 26)
e197	(9 26)
e206	(11 28)
e207	(13 30)
e208	(14 31)
e209	(12 29)
e212	(11 28)
e214	(10 27)
e244	(11 28)
e245	(11 28)
e246	(11 28)
e247	(11 28)
e256	(13 30)
e257	(9 26)
e258	(15 32)
e259	(16 33)
e260	(14 31)
e262	(16 33)
e269	(11 28)
e278	(11 28)
e279	(11 28)
e311	(11 28)
e312	(6 23)
e335	(11 28)
e336	(11 28)
e343	(11 28)
e349	(8 25)
e354	(8 25)
e356	(8 25)
e358	(8 25)
e359	(8 25)
e369	(11 28)
e371	(10 27)
e372	(10 27)
e380	(16 33)
e381	(15 32)
e401	(10 27)
e402	(10 27)
e404	(13 30)
e405	(9 26)
e409	(12 29)
e410	(12 29)
e411	(12 29)
e412	(12 29)
e413	(12 29)
e414	(12 29)
e415	(12 29)
e428	(11 28)
e429	(9 26)
e430	(10 27)
e431	(9 26)
e433	(8 25)
e434	(9 26)
e435	(9 26)
e444	(7 24)
e446	(9 26)
e447	(8 25)
e448	(9 26)
e494	(7 24)
e495	(7 24)
e496	(7 24)
e501	(7 24)
e511	(5 22)
e512	(5 22)
e513	(5 22)
e514	(5 22)
e515	(5 22)
e522	(11 28)
e523	(12 29)
e524	(7 24)
e526	(7 24)
e527	(9 26)
e553	(10 27)
e554	(10 27)
e555	(10 27)
e556	(10 27)
e561	(10 27)
e562	(9 26)
e636	(6 23)
e637	(10 27)
e640	(8 25)
e643	(8 25)
e644	(8 25)
e647	(9 26)
e648	(10 27)
e649	(9 26)
e650	(9 26)
e651	(10 27)
e661	(9 26)
e663	(8 25)
e667	(8 25)
e668	(9 26)
e729	(16 33)
e730	(16 33)
e783	(12 29)
e784	(13 30)
e797	(3 20)
e798	(5 22)
e915	(11 28)
e916	(15 32)
e922	(6 23)
e923	(5 22)
e941	(11 28)
e942	(13 30)
e943	(11 28)
e977	(15 32)
e978	(15 32)
e985	(13 30)
e1006	(15 32)
e1007	(15 32)
e1009	(15 32)
e1010	(15 32)
e1011	(15 32)
e1012	(15 32)
e1015	(13 30)
e1016	(8 25)
e1017	(8 25)
e1019	(11 28)
e1024	(11 28)
e1027	(14 31)
e1051	(12 29)
e1053	(11 28)
e1054	(11 28)
e1122	(12 29)
e1123	(12 29)
e1146	(15 32)
e1147	(15 32)
e1149	(15 32)
e1151	(15 32)
e1152	(15 32)
e1155	(15 32)
e1156	(15 32)
e1168	(12 29)
e1169	(11 28)
e1170	(14 31)
e1172	(14 31)
e1174	(14 31)
e1189	(16 33)
e1197	(13 30)
e1199	(14 31)
e1200	(14 31)
e1201	(14 31)
e1202	(14 31)
e1203	(14 31)
e1204	(13 30)
e1205	(14 31)
e1206	(13 30)
e1207	(13 30)
e1208	(14 31)
e1217	(15 32)
e1219	(16 33)
e1220	(16 33)
