e2	(3 20)
e3	(2 19)
e4	(1 18)
e5	(16 33)
e6	(16 33)
e7	(7 24)
e8	(11 28)
e9	(10 27)
e10	(9 26)
e11	(10 27)
e12	(10 27)
e13	(9 26)
e14	(9 26)
e15	(9 26)
e16	(9 26)
e18	(9 26)
e19	(9 26)
e20	(9 26)
e23	(13 30)
e24	(9 26)
e25	(9 26)
e29	(16 33)
e30	(16 33)
e31	(8 25)
e32	(10 27)
e33	(10 27)
e37	(15 32)
e38	(14 31)
e39	(16 33)
e41	(15 32)
e42	(15 32)
e43	(15 32)
e44	(15 32)
e45	(13 30)
e46	(14 31)
e47	(14 31)
e49	(11 28)
e50	(15 32)
e51	(14 31)
e52	(15 32)
e55	(16 33)
e57	(13 30)
e58	(14 31)
e59	(14 31)
e60	(15 32)
e61	(14 31)
e62	(14 31)
e63	(15 32)
e64	(15 32)
e65	(14 31)
e66	(14 31)
e67	(15 32)
e68	(15 32)
e69	(14 31)
e70	(15 32)
e71	(15 32)
e72	(15 32)
e73	(14 31)
e74	(15 32)
e76	(13 30)
e77	(15 32)
e78	(13 30)
e80	(14 31)
e81	(15 32)
e82	(14 31)
e84	(14 31)
e86	(15 32)
e87	(15 32)
e88	(14 31)
e89	(15 32)
e90	(15 32)
e91	(15 32)
e92	(15 32)
e93	(15 32)
e94	(15 32)
e95	(16 33)
e96	(13 30)
e97	(14 31)
e98	(15 32)
e99	(15 32)
e101	(15 32)
e102	(15 32)
e103	(15 32)
e104	(13 30)
e105	(13 30)
e106	(14 31)
e107	(14 31)
e108	(13 30)
e109	(16 33)
e111	(16 33)
e112	(16 33)
e113	(14 31)
e114	(15 32)
e115	(15 32)
e116	(15 32)
e117	(15 32)
e118	(15 32)
e120	(9 26)
e121	(10 27)
e122	(11 28)
e124	(10 27)
e125	(9 26)
e126	(11 28)
e127	(11 28)
e128	(11 28)
e130	(16 33)
e131	(16 33)
e132	(15 32)
e139	(14 31)
e141	(11 28)
e142	(14 31)
e143	(14 31)
e144	(15 32)
e145	(14 31)
e146	(14 31)
e147	(14 31)
e148	(11 28)
e149	(11 28)
e150	(14 31)
e155	(14 31)
e156	(14 31)
e157	(14 31)
e158	(14 31)
e159	(14 31)
e160	(15 32)
e161	(13 30)
e163	(14 31)
e164	(14 31)
e165	(14 31)
e166	(14 31)
e167	(14 31)
e168	(15 32)
e169	(15 32)
e170	(13 30)
e171	(12 29)
e172	(12 29)
e174	(14 31)
e175	(12 29)
e176	(13 30)
e177	(16 33)
e178	(15 32)
e179	(15 32)
e182	(14 31)
e184	(16 33)
e185	(15 32)
e186	(15 32)
e187	(14 31)
e188	(15 32)
e189	(11 28)
e190	(16 33)
e191	(15 32)
e194	(16 33)
e195	(16 33)
e196	(15 32)
e197	(15 32)
e199	(15 32)
e200	(15 32)
e202	(16 33)
e205	(16 33)
e206	(16 33)
e210	(16 33)
e213	(14 31)
e214	(16 33)
e215	(14 31)
e216	(13 30)
e217	(12 29)
e218	(15 32)
e219	(12 29)
e220	(12 29)
e221	(13 30)
e222	(11 28)
e225	(14 31)
e226	(13 30)
e227	(12 29)
e228	(12 29)
e231	(11 28)
e232	(12 29)
e233	(13 30)
e234	(5 22)
e235	(9 26)
e236	(8 25)
e237	(6 23)
e238	(8 25)
e239	(7 24)
e240	(8 25)
e241	(8 25)
e242	(10 27)
e243	(15 32)
e247	(14 31)
e250	(16 33)
e251	(16 33)
e252	(16 33)
e253	(15 32)
e254	(16 33)
e255	(15 32)
e256	(16 33)
e258	(15 32)
e259	(16 33)
e260	(16 33)
e261	(15 32)
e267	(15 32)
e268	(16 33)
e269	(16 33)
e270	(15 32)
e272	(15 32)
e273	(14 31)
e274	(14 31)
e276	(14 31)
e278	(9 26)
e279	(11 28)
e280	(10 27)
e283	(5 22)
e284	(5 22)
e285	(15 32)
e286	(14 31)
e287	(15 32)
e289	(6 23)
e290	(9 26)
e291	(9 26)
e292	(10 27)
e293	(8 25)
e295	(10 27)
e296	(12 29)
e297	(14 31)
e298	(14 31)
e299	(11 28)
e300	(13 30)
e301	(10 27)
e302	(10 27)
e304	(9 26)
e309	(13 30)
e310	(13 30)
e311	(14 31)
e312	(14 31)
e315	(12 29)
e316	(12 29)
e317	(7 24)
e318	(4 21)
e319	(9 26)
e320	(4 21)
e321	(8 25)
e322	(8 25)
e326	(12 29)
e328	(13 30)
e329	(13 30)
e330	(13 30)
e331	(13 30)
e332	(13 30)
e333	(13 30)
e334	(13 30)
e335	(13 30)
e336	(13 30)
e339	(13 30)
e341	(13 30)
e342	(12 29)
e343	(13 30)
e344	(13 30)
e345	(13 30)
e346	(13 30)
e347	(13 30)
e349	(13 30)
e350	(13 30)
e351	(13 30)
e352	(13 30)
e355	(14 31)
e356	(14 31)
e357	(14 31)
e358	(14 31)
e359	(15 32)
e360	(14 31)
e361	(16 33)
e362	(15 32)
e365	(13 30)
e366	(13 30)
e367	(13 30)
e369	(12 29)
e372	(13 30)
e373	(16 33)
e375	(10 27)
e376	(10 27)
e377	(11 28)
e379	(13 30)
e380	(15 32)
e381	(14 31)
e382	(9 26)
e383	(9 26)
e384	(13 30)
e385	(13 30)
e388	(11 28)
e389	(11 28)
e390	(9 26)
e391	(12 29)
e392	(13 30)
e394	(12 29)
e395	(12 29)
e397	(12 29)
e398	(12 29)
e399	(5 22)
e401	(8 25)
e402	(8 25)
e403	(8 25)
e404	(8 25)
e405	(8 25)
e406	(8 25)
e407	(8 25)
e408	(8 25)
e409	(9 26)
e410	(9 26)
e412	(10 27)
e413	(10 27)
e414	(10 27)
e416	(10 27)
e417	(9 26)
e418	(10 27)
e422	(10 27)
e423	(10 27)
e424	(11 28)
e425	(10 27)
e426	(8 25)
e427	(10 27)
e428	(8 25)
e429	(9 26)
e430	(7 24)
e431	(11 28)
e432	(15 32)
e433	(16 33)
e434	(16 33)
e435	(9 26)
e436	(11 28)
e437	(12 29)
e438	(10 27)
e441	(9 26)
e442	(15 32)
e443	(16 33)
e444	(13 30)
e446	(14 31)
e447	(14 31)
e448	(14 31)
e451	(16 33)
e453	(16 33)
e455	(16 33)
e456	(15 32)
e457	(16 33)
e458	(15 32)
e459	(16 33)
e460	(15 32)
e461	(13 30)
e462	(16 33)
e463	(6 23)
e464	(7 24)
e465	(7 24)
e466	(11 28)
e467	(11 28)
e469	(9 26)
e470	(7 24)
e471	(8 25)
e472	(7 24)
e473	(4 21)
e474	(2 19)
e475	(6 23)
e477	(1 18)
e478	(1 18)
e487	(8 25)
e488	(8 25)
e489	(9 26)
e490	(10 27)
e491	(12 29)
e492	(10 27)
e493	(12 29)
e494	(10 27)
e495	(10 27)
e496	(10 27)
e497	(10 27)
e498	(10 27)
e499	(10 27)
e500	(10 27)
e501	(10 27)
e502	(9 26)
e505	(10 27)
e507	(11 28)
e508	(11 28)
e509	(11 28)
e510	(10 27)
e511	(11 28)
e513	(11 28)
e514	(10 27)
e515	(10 27)
e516	(10 27)
e517	(14 31)
e518	(13 30)
e519	(14 31)
e520	(12 29)
e521	(10 27)
e522	(7 24)
e528	(14 31)
e529	(12 29)
e530	(16 33)
e531	(16 33)
e532	(16 33)
e533	(12 29)
e534	(14 31)
e535	(16 33)
e536	(15 32)
e537	(13 30)
e538	(12 29)
e539	(16 33)
e540	(16 33)
e542	(15 32)
e543	(16 33)
e549	(13 30)
e550	(13 30)
e551	(13 30)
e552	(13 30)
e553	(14 31)
e554	(15 32)
e555	(9 26)
e556	(12 29)
e557	(13 30)
e558	(13 30)
e559	(14 31)
e560	(14 31)
e568	(16 33)
e569	(15 32)
e571	(14 31)
e572	(15 32)
e573	(9 26)
e574	(14 31)
e575	(12 29)
e576	(11 28)
e578	(15 32)
e579	(14 31)
e580	(16 33)
e581	(16 33)
e582	(16 33)
e583	(16 33)
e584	(14 31)
e585	(14 31)
e586	(15 32)
e588	(14 31)
e589	(12 29)
e590	(15 32)
e591	(11 28)
e592	(11 28)
e593	(15 32)
e594	(12 29)
e596	(13 30)
e597	(14 31)
e598	(13 30)
e599	(13 30)
e600	(12 29)
e601	(10 27)
e603	(14 31)
e604	(14 31)
e605	(15 32)
e606	(15 32)
e607	(15 32)
e608	(15 32)
e610	(15 32)
e611	(15 32)
e612	(14 31)
e613	(14 31)
e614	(12 29)
e615	(13 30)
e616	(14 31)
e617	(13 30)
e618	(14 31)
e619	(15 32)
e620	(13 30)
e621	(13 30)
e622	(14 31)
e624	(15 32)
e627	(14 31)
e629	(16 33)
e631	(16 33)
e634	(14 31)
e635	(15 32)
e636	(14 31)
e637	(16 33)
e638	(7 24)
e640	(14 31)
e641	(16 33)
e642	(16 33)
e643	(16 33)
e644	(15 32)
e645	(15 32)
e646	(13 30)
e647	(14 31)
e650	(12 29)
e651	(13 30)
e652	(12 29)
e653	(14 31)
e654	(11 28)
e656	(12 29)
e657	(15 32)
e658	(14 31)
e659	(14 31)
e660	(13 30)
e661	(9 26)
e663	(11 28)
e664	(15 32)
e666	(16 33)
e667	(16 33)
e668	(15 32)
e669	(11 28)
e670	(13 30)
e671	(11 28)
e672	(10 27)
